role,skills
tanning consultant,"recommend cosmetics to customers, manage cleaning activities, tanning process, handle chemical cleaning agents, apply company policies, manage tanning operations, sell cosmetics, offer cosmetic beauty advice, maintain personal hygiene standards, administer spray tans, process payments, issue sales invoices, determine skin type, offer free samples of cosmetics, skin types, maintain equipment, advise on tanning treatments, handle customer complaints, order supplies, maintain customer service, manage schedule of tasks, monitor stock level, administer appointments, identify customer's needs, cosmetics ingredients, cosmetics, ensure sanitation, manage indoor tanning sessions, customer service"
tanning technician,"develop manufacturing recipes, leather technology, plan beamhouse operations, manage environmental impact of operations, tanning process, manage chemical testing procedures, manage tanning operations, conduct post tanning operations, characteristics of chemicals used for tanning, emission standards, leather goods components, ensure compliance with environmental legislation, work with chemicals, plan tanning finishing operations, test leather chemistry, physico-chemical properties of crust leather, reduce tanning emissions, ensure compliance with safety legislation, conduct beamhouse operations, design post tanning operations, comply with legal regulations, conduct re-tanning operations, plan fabric manufacturing process, leather chemistry, apply footwear and leather goods quality control techniques, leather colour chemistry, leather goods materials, plan health and safety procedures, physico-chemical properties of hides and skins, leather products maintenance, test chemical auxiliaries, functionalities of machinery, hides, skins and leather products, leather physical testing, manage quality of leather throughout the production process, conduct leather finishing operations"
tax advisor,"disseminate information on tax legislation, prepare tax returns forms, research taxation procedures, value-added tax law, manage payroll reports, national generally accepted accounting principles, international taxation of transfer prices, manage personal finances, collect tax, tax legislation, prepare financial auditing reports, cadastral taxation, business management principles, inspect tax returns, secure sensitive customer's information, advise on legal decisions, prepare financial statements, make strategic business decisions, advise on financial matters, advise on tax policy, sign income tax returns, international financial reporting standards, advise on tax planning, advise on efficiency improvements, calculate tax, commercial law, use consulting techniques, negotiate in legal cases, interpret financial statements, inform on fiscal duties, conduct financial audits, compile legal documents, legal department processes, inspect taxation documents, provide legal advice, civil law, legal terminology, accounting entries, check official documents, develop taxation policies, fraud detection, observe confidentiality"
tax clerk,"disseminate information on tax legislation, prepare tax returns forms, research taxation procedures, insolvency law, handle financial disputes, tax legislation, cadastral taxation, inspect tax returns, calculate debt costs, assess seizable goods, debt classification, accounting department processes, advise on tax policy, handle financial transactions, check accounting records, advise on tax planning, calculate tax, perform clerical duties, interpret financial statements, accounting techniques, use spreadsheets software, inform on fiscal duties, manage accounts, inspect taxation documents, use accounting systems, bookkeeping regulations, fraud detection, observe confidentiality"
tax compliance officer,"disseminate information on tax legislation, research taxation procedures, insolvency law, perform debt investigation, office software, handle financial disputes, monitor financial accounts, collect tax, tax legislation, cadastral taxation, public finance, inspect tax returns, assess seizable goods, debt classification, use microsoft office, debt collection techniques, advise on tax policy, assess debtor's financial situation, handle financial transactions, advise on tax planning, public law, calculate tax, accounting techniques, inform on fiscal duties, manage accounts, use different communication channels, keep task records, inspect taxation documents, law enforcement, check official documents, bookkeeping regulations, respond to enquiries, fraud detection, observe confidentiality"
tax inspector,"disseminate information on tax legislation, research taxation procedures, office software, manage cadastre, handle financial disputes, monitor financial accounts, collect tax, tax legislation, prepare financial auditing reports, cadastral taxation, public finance, numerical sequences, inspect tax returns, audit techniques, use microsoft office, handle financial transactions, corporate law, advise on tax planning, public law, calculate tax, accounting techniques, inform on fiscal duties, manage accounts, develop account strategy, conduct financial audits, keep task records, inspect taxation documents, check official documents, bookkeeping regulations, fraud detection"
tax policy analyst,"disseminate information on tax legislation, research taxation procedures, perform project management, office software, politics, business analysis, tax legislation, prepare financial auditing reports, cadastral taxation, public finance, audit techniques, financial forecasting, supervise advocacy work, use microsoft office, advise on tax policy, budgetary principles, corporate law, advise on tax planning, public law, manage government policy implementation, advise on public finance, strategic planning, fraud detection, accounting techniques, company policies, comply with legal regulations, ensure cross-department cooperation, organisational policies, monitor company policy, forecast account metrics, international business, government policy implementation, write work-related reports, manage administrative systems, bookkeeping regulations, develop taxation policies, develop organisational policies"
taxi controller,"consider economic criteria in decision making, perform services in a flexible manner, follow up complaint reports, assign taxi fares, have computer literacy, drive in urban areas, relay messages through radio and telephone systems, communicate by telephone, control taxi schedules, match vehicles with routes, monitor drivers, listen actively, log times of taxis, road traffic laws, handle customer complaints, read maps, use different communication channels, operate radio dispatch systems for taxis, provide high-end driving services, use codes to communicate with taxi drivers, communicate verbal instructions, passenger transport regulations"
taxi driver,"organise vehicle breakdown support, geographic areas, tolerate sitting for long periods, perform services in a flexible manner, solve location and navigation problems by using GPS tools, operate GPS systems, use communication devices, park vehicles, mechanical components of vehicles, drive in urban areas, communicate with customers, ensure vehicle operability, provide customers with price information, lift heavy weights, follow verbal instructions, adapt to changing situations, provide private transport services, tolerate stress, maintain privacy of service users, read maps, apply knowledge of human behaviour, use different communication channels, operate radio dispatch systems for taxis, provide high-end driving services, transport topography, maintain vehicle appearance, assist passengers, handle petty cash"
taxidermist,"conduct research on fauna, create animal structure, animal welfare legislation, animal positions, label components, create base for products, assemble fossils, animal species, chemistry, use painting techniques, human anatomy, deal with killing animals processes, apply a protective layer, provide customers with price information, provide customers with order information, anatomy of animals, skin animals, inspect animal carcasses, physiology of animals, repair stuffed animals, clean animal body parts, create scenery display, applied zoology, create animal records, conservation techniques, finish animal structure, clean carcasses"
teacher of talented and gifted students,"apply teaching strategies, common children's diseases, assist in the organisation of school events, instructional strategies, assign homework, compile course material, attend to children's basic physical needs, keep records of attendance, kindergarten school procedures, promote the safeguarding of young people, secondary school procedures, work with virtual learning environments, assess students, maintain students' discipline, perform classroom management, prepare lesson content, first aid, pedagogy, escort students on a field trip, apply intercultural teaching strategies, liaise with educational support staff, behavioural disorders, demonstrate when teaching, monitor educational developments, manage student relationships, encourage students to acknowledge their achievements, provide feedback to performers, oversee extra-curricular activities, learning difficulties, adapt teaching to student's capabilities, counselling methods, monitor children's physical development, assist students in their learning, liaise with educational staff, curriculum objectives, use learning strategies, maintain relations with children's parents, support the positiveness of youths, assessment processes, assess the development of youth, guarantee students' safety, learning needs analysis, learning technologies, support children's wellbeing, implement care programmes for children, perform playground surveillance, consult students on learning content, primary school procedures, workplace sanitation, handle children's problems, provide lesson materials, facilitate teamwork between students, monitor developments in field of expertise, recognise indicators of gifted student, arrange parent teacher meeting, assist students with equipment, post-secondary school procedures, advise on lesson plans, support gifted students, language teaching methods, special needs education, give constructive feedback, monitor student's behaviour, develop course outline"
technical communicator,"apply tools for content development, documentation types, content development processes, use content management system software, develop ICT safety information, use markup languages, provide technical documentation, structure information, manage content development projects, product usage risks analysis, manage content metadata, gather technical information, style sheet languages, use presentation software, integrate and re-elaborate digital content, cognitive psychology, design graphics, manage digital documents, identify ICT user needs, identify technological needs, interpret technical texts, provide multimedia content, ICT software specifications, integrate content into output media, Sass, LESS, provide written content, apply ICT terminology, multimedia systems, publishing strategy, develop documentation in accordance with legal requirements, knowledge base, translate requirements into visual design, JSSS, create script for artistic production, compile content, manage information sources, utilise content types, provide online help, visual presentation techniques, conduct content quality assurance, manage localisation, ICT help platforms, CSS, application usability, use word processing software"
technical director,"promote health and safety, write risk assessment on performing arts production, adapt to artists' creative demands, coordinate with creative departments, negotiate health and safety issues with third parties, organise rehearsals, theatre techniques, adapt designers’ work to the performance venue, write technical riders, coordinate technical teams in artistic productions"
technical sales representative,"provide customer follow-up services, international commercial transactions rules, ensure client orientation, sales strategies, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, types of maritime vessels, mining, construction and civil engineering machinery products, have computer literacy, speak different languages, agricultural equipment, maintain relationship with customers, demonstrate products' features, electronic and telecommunication equipment, issue sales invoices, consumer protection, implement customer follow-up, communicate with customers, textile industry machinery products, implement sales strategies, chemical products, demonstrate motivation for sales, contact customers, office equipment, use customer relationship management software, market pricing, produce sales reports, sales promotion techniques, machinery products, electronic communication, ICT software specifications, create solutions to problems, e-procurement, multimedia systems, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, credit card payments, perform customers’ needs analysis, electronic business, characteristics of services, apply technical communication skills, types of aircraft, industrial tools, ensure compliance with legal requirements, sales activities, hardware, plumbing and heating equipment products, address problems critically, record customers' personal data, e-commerce systems, product comprehension"
technical sales representative in agricultural machinery and equipment,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, have computer literacy, agricultural equipment, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, implement sales strategies, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
technical sales representative in chemical products,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, have computer literacy, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, implement sales strategies, chemical products, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
technical sales representative in electronic and telecommunications equipment,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, have computer literacy, electronic and telecommunication equipment, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, implement sales strategies, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, handle warranty for digital equipment, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
"technical sales representative in hardware, plumbing and heating equipment","provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, have computer literacy, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, implement sales strategies, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, hardware, plumbing and heating equipment products, record customers' personal data, product comprehension"
technical sales representative in machinery and industrial equipment,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, types of maritime vessels, guarantee customer satisfaction, have computer literacy, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, capital goods industry, implement sales strategies, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, machinery products, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, industrial tools, types of aircraft, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
technical sales representative in mining and construction machinery,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, mining, construction and civil engineering machinery products, implement marketing strategies, guarantee customer satisfaction, respond to customers' inquiries, have computer literacy, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, implement sales strategies, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
technical sales representative in office machinery and equipment,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, have computer literacy, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, implement sales strategies, demonstrate motivation for sales, office equipment, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
technical sales representative in the textile machinery industry,"provide customer follow-up services, ensure client orientation, keep records on sales, keep records of customer interaction, answer requests for quotation, implement marketing strategies, respond to customers' inquiries, guarantee customer satisfaction, have computer literacy, maintain relationship with customers, demonstrate products' features, implement customer follow-up, communicate with customers, textile industry machinery products, capital goods industry, implement sales strategies, demonstrate motivation for sales, contact customers, use customer relationship management software, produce sales reports, sales promotion techniques, characteristics of products, supervise sales activities, manage schedule of tasks, prospect new customers, characteristics of services, apply technical communication skills, ensure compliance with legal requirements, record customers' personal data, product comprehension"
telecommunication equipment shop manager,"ensure client orientation, oversee promotional sales prices, negotiate sales contracts, apply health and safety standards, ensure correct goods labelling, maintain relationship with suppliers, set up pricing strategies, maintain relationship with customers, adhere to organisational guidelines, telecommunication industry, monitor customer service, manage theft prevention, manage budgets, study sales levels of products, manage aftersales processes to comply with business standards, ensure compliance with purchasing and contracting regulations, obtain relevant licenses, order supplies, manage staff, recruit employees, perform procurement processes, maximise sales revenues, use different communication channels, supervise merchandise displays, measure customer feedback, sales activities, set sales goals, employment law, negotiate buying conditions, recommend telecommunication equipment to customers"
telecommunications analyst,"provide ICT consulting advice, microwave principles, define technical requirements, use session border controller, install monitors for process control, log transmitter readings, ICT communications protocols, analyse business requirements, execute analytical mathematical calculations, communicate with customers, telecommunication trunking, operate call distribution system, business process modelling, make strategic business decisions, provide ICT system training, design process, electromagnetism, calibrate electronic instruments, Cisco, electronics principles, propose ICT solutions to business problems, provide user documentation, direct inward dialing, use different communication channels, analog electronics theory, ICT security legislation, coordinate technological activities, provide cost benefit analysis reports, procurement of ICT network equipment, analyse business processes, telecom regulations, operate electronic measuring instruments, solder electronics, upgrade firmware, operate private branch exchange"
telecommunications engineer,"ML (computer programming), Erlang, build business relationships, ICT communications protocols, Assembly (computer programming), TypeScript, ASP.NET, Process-based management, SAS language, estimate costs of installing telecommunication devices, network engineering, Smalltalk (computer programming), ICT network security risks, ICT network routing, Cisco, provide user documentation, systems development life-cycle, C#, ICT system user requirements, Groovy, Ruby (computer programming), telecom regulations, implement ICT security policies, ICT project management methodologies, create software design, ICT networking hardware, Visual Basic, Perl, design computer network, provide ICT system training, design process, support ICT system users, Prolog (computer programming), Scala, analyse network bandwidth requirements, Objective-C, Haskell, implement a firewall, Python (computer programming), MATLAB, install low voltage wiring, apply technical communication skills, Microsoft Visual C++, perform resource planning, operate private branch exchange, implement ICT network diagnostic tools, Agile project management, Scratch (computer programming), define technical requirements, computer programming, forecast future ICT network needs, telecommunication industry, log transmitter readings, CoffeeScript, implement a virtual private network, ABAP, telecommunication trunking, APL, perform ICT troubleshooting, PHP, SAP R3, Common Lisp, use different communication channels, integrate system components, adjust ICT system capacity, signal processing, R, Pascal (computer programming), C++, VBScript, microwave principles, OpenEdge Advanced Business Language, solve location and navigation problems by using GPS tools, use a complex communication system, use session border controller, lean project management, analyse business requirements, Lisp, assess ICT knowledge, Java (computer programming), interact with users to gather requirements, electronics principles, AJAX, give live presentation, install electronic communication equipment, COBOL, procurement of ICT network equipment, quality assurance methodologies, strategies for handling cases of elder abuse, Swift (computer programming), JavaScript"
telecommunications engineering technician,"Visual Basic, manage system security, ML (computer programming), ICT system programming, VBScript, apply ICT system usage policies, microwave principles, OpenEdge Advanced Business Language, Perl, Scratch (computer programming), use a complex communication system, maintain telephony system, use session border controller, Erlang, install monitors for process control, computer programming, solve ICT system problems, log transmitter readings, CoffeeScript, ICT communications protocols, ABAP, Assembly (computer programming), implement a virtual private network, TypeScript, Lisp, telecommunication trunking, ASP.NET, APL, apply system organisational policies, SAS language, Java (computer programming), support ICT system users, execute ICT audits, Smalltalk (computer programming), electromagnetism, interpret technical texts, Prolog (computer programming), PHP, calibrate electronic instruments, Pascal (computer programming), Scala, Objective-C, use scripting programming, SAP R3, Haskell, electronics principles, Common Lisp, Cisco, C#, direct inward dialing, AJAX, ICT system user requirements, organisational policies, analog electronics theory, integrate system components, Python (computer programming), MATLAB, Groovy, Ruby (computer programming), COBOL, provide cost benefit analysis reports, procurement of ICT network equipment, meet deadlines, quality assurance methodologies, manage system testing, telecom regulations, operate electronic measuring instruments, manage changes in ICT system, Microsoft Visual C++, solder electronics, upgrade firmware, R, operate private branch exchange, Swift (computer programming), JavaScript, C++"
telecommunications equipment maintainer,"assess telecommunication infrastructure issues, repair wiring, ICT power consumption, solve location and navigation problems by using GPS tools, ICT network cable limitations, use a complex communication system, operate remote broadcast equipment, implement a virtual private network, install signal repeaters, operate radio equipment, use precision tools, calibrate electronic instruments, operate audio equipment, implement a firewall, install low voltage wiring, meet deadlines, solder electronics, implement ICT security policies, maintain radio communications equipment, operate two-way radio systems"
telecommunications equipment specialised seller,"provide customer follow-up services, prevent shoplifting, plan aftersales arrangements, guarantee customer satisfaction, provide customer guidance on product selection, carry out order intake, demonstrate products' features, sales argumentation, organise product display, telecommunication industry, carry out active selling, issue sales invoices, estimate costs of installing telecommunication devices, sell telecommunication products, process refunds, carry out products preparation, apply numeracy skills, stock shelves, examine merchandise, electronics principles, characteristics of products, maintain store cleanliness, operate cash register, organise storage facilities, use different communication channels, monitor stock level, identify customer's needs, characteristics of services, ensure compliance with legal requirements, perform market research, e-commerce systems, product comprehension, recommend telecommunication equipment to customers"
telecommunications manager,"investment analysis, train employees, implement ICT risk management, Open source model, ICT communications protocols, implement a virtual private network, telecommunication trunking, manage budgets, network engineering, execute ICT audits, calibrate electronic instruments, manage staff, recruit employees, use ICT ticketing system, electronics principles, perform procurement processes, comply with legal regulations, Outsourcing model, direct inward dialing, coordinate technological activities, provide cost benefit analysis reports, telecom regulations, implement corporate governance, upgrade firmware, internet governance, operate private branch exchange, hybrid model"
telecommunications technician,"maintain internet protocol configuration, install cable TV services, assess telecommunication infrastructure issues, design failover solutions, repair wiring, operate signal generator, use a complex communication system, seal wires, use session border controller, assist customers, log transmitter readings, ICT communications protocols, install signal repeaters, execute analytical mathematical calculations, communicate with customers, operate digging construction equipment, telecommunication trunking, operate call distribution system, implement a virtual private network, use access control software, estimate duration of work, perform ICT troubleshooting, ensure proper document management, implement anti-virus software, create solutions to problems, monitor communication channels' performance, Cisco, concepts of telecommunications, use computer telephony integration, implement a firewall, direct inward dialing, use different communication channels, install electronic communication equipment, install low voltage wiring, procurement of ICT network equipment, operate aerial work platforms, telecom regulations, solder electronics, operate electronic measuring instruments, upgrade firmware, splice cable, implement ICT security policies, operate private branch exchange, use communication equipment, operate two-way radio systems"
telephone switchboard operator,"answer incoming calls, ICT communications protocols, communicate by telephone, implement a virtual private network, monitor communication channels' performance, concepts of telecommunications, use computer telephony integration, redirect callers, greet guests, respond to customers' inquiries, maintain telephony system, handle helpdesk problems, use communication devices, electronic communication, install electronic communication equipment"
temperature screener,"provide protective equipment against infectious diseases, workplace sanitation, ensure sanitation, interview people, maintain customer service, health records management, apply social distancing protocols, greet guests, wear appropriate protective gear, hygiene in a health care setting, measure temperature, ensure safety regulations in dealing with infectious diseases, infection control, execute working instructions, customer service, observe confidentiality"
tennis coach,"apply teaching strategies, provide first aid, sport psychology, promote balance between rest and activity, support sport in media, table tennis, assess students, cooperate with colleagues, plan sports instruction programme, tennis, motivate in sports, assist clients with special needs, manage athletes, maintain customer service, demonstrate professional attitude to clients, contribute to the development of a sporting estate, personalise sports programme, teamwork principles, work with different target groups, instruct in sport, organise sporting environment, give constructive feedback, apply risk management in sports, assess performance in sport events"
tent installer,"use personal protection equipment, assemble performance equipment, develop professional network, perform first fire intervention, work with respect for own safety, manage personal professional development, organise resources for artistic production, work ergonomically, work safely with mobile electrical systems under supervision, operate telehandler, write risk assessment on performing arts production, operate forklift, assemble tent constructions, prevent fire in a performance environment, manage technical resources stock, use technical documentation, follow safety procedures when working at heights, keep personal administration, store performance equipment, work safely with machines"
terrazzo setter,"prevent premature drying, grind terrazzo, aesthetics, grout terrazzo, screed concrete, apply proofing membranes, design floor, work ergonomically, mix terrazzo material, transport construction supplies, calculate needs for construction supplies, install insulation material, order construction supplies, follow health and safety procedures in construction, prepare floor for terrazzo, keep records of work progress, polish stone surfaces, work safely with chemicals, mix construction grouts, blast surface, process incoming construction supplies, lay terrazzo divider strips, pour terrazzo, inspect construction supplies, use measurement instruments, keep personal administration, work in a construction team, maintain terrazzo, use safety equipment in construction"
terrazzo setter supervisor,"prevent premature drying, grind terrazzo, provide first aid, types of membranes, train employees, answer requests for quotation, cost management, ensure compliance with construction project deadline, plan shifts of employees, screed concrete, grout terrazzo, apply proofing membranes, negotiate supplier arrangements, supervise staff, design floor, work ergonomically, mix terrazzo material, calculate needs for construction supplies, install insulation material, liaise with managers, order construction supplies, follow health and safety procedures in construction, evaluate employees work, keep records of work progress, manage health and safety standards, recruit employees, prepare floor for terrazzo, mix construction grouts, ensure equipment availability, blast surface, process incoming construction supplies, monitor stock level, lay terrazzo divider strips, provide technical expertise, manage contracts, construction product regulation, advise on construction materials, pour terrazzo, inspect construction supplies, keep personal administration, use measurement instruments, work in a construction team, maintain terrazzo, use safety equipment in construction, check compatibility of materials"
test engineer,"production processes, instrumentation engineering, promote the participation of citizens in scientific and research activities, perform project management, apply for research funding, evaluate research activities, test procedures, manage personal professional development, test performance of power plants, test electronic units, test instrumentation equipment, speak different languages, apply research ethics and scientific integrity principles in research activities, disseminate results to the scientific community, analyse test data, industrial engineering, demonstrate disciplinary expertise, think abstractly, engineering principles, manage findable accessible interoperable and reusable data, test microelectromechanical systems, follow nuclear plant safety precautions, operate open source software, electrical engineering, promote the transfer of knowledge, approve engineering design, interact professionally in research and professional environments, perform scientific research, manufacturing processes, test optoelectronics, manage intellectual property rights, conduct research across disciplines, monitor nuclear power plant systems, use technical drawing software, manage open publications, manage research data, develop professional network with researchers and scientists, communicate with a non-scientific audience, analyse scientific data, adjust engineering designs, conduct routine machinery checks, nuclear energy, integrate gender dimension in research, increase the impact of science on policy and society, publish academic research, engineering processes, in-circuit test, apply blended learning, test electrical equipment, draft scientific or academic papers and technical documentation, write routine reports, synthesise information, mentor individuals, write scientific publications, test hardware, technical drawings, teach in academic or vocational contexts, test materials, instrumentation equipment, develop ICT test suite, promote open innovation in research"
textile chemical quality technician,"properties of textile materials, use textile finishing machine technologies, distinguish fabrics, check quality of products in textile production line, textile printing technology, test physical properties of textiles, measure yarn count, challenging issues in the textile industry, maintain work standards, distinguish accessories, dyeing technology, nonwoven machine technology, evaluate textile characteristics, textile chemistry, conduct textile testing operations, control textile process, textile finishing technology, textile technologies"
textile chemist,"challenging issues in the textile industry, evaluate textile characteristics, textile chemistry, textile finishing technology, textile technologies, use textile finishing machine technologies, design yarns, health and safety in the textile industry, nonwoven machine technology, design warp knit fabrics, control textile process, dyeing technology, develop textile colouring recipes, textile printing technology, conduct textile testing operations, properties of textile materials, develop specifications of technical textiles, research and development in textiles, maintain work standards, manufacture man-made fibres"
textile colourist,"develop textile colouring recipes, seek innovation in current practices, draw sketches to develop textile articles using softwares, portfolio management in textile manufacturing, design yarns, draw sketches to develop textile articles, conduct textile testing operations, use textile technique for hand-made products, maintain work standards, textile chemistry, prepare equipment for textile printing, textile marketing techniques, dyeing technology"
textile designer,"design management, seek innovation in current practices, measure yarn count, challenging issues in the textile industry, textile chemistry, knitting machine technology, textile marketing techniques, design woven fabrics, use warp knitting technologies, design yarns, draw sketches to develop textile articles, create mood boards, distinguish accessories, nonwoven machine technology, design warp knit fabrics, dyeing technology, develop textile colouring recipes, textile printing technology, properties of textile materials, gather reference materials for artwork, distinguish fabrics, draw sketches to develop textile articles using softwares, portfolio management in textile manufacturing, design weft knitted fabrics, keep up to date on costume design, decorate textile articles, use textile technique for hand-made products"
textile dyeing technician,"properties of textile materials, use textile finishing machine technologies, develop textile colouring recipes, tend textile dyeing machines, textile printing technology, textile technologies, prepare equipment for textile printing, maintain work standards, health and safety in the textile industry, work in textile manufacturing teams, textile chemistry, apply colouring recipes, test physical properties of textiles, textile finishing technology, dyeing technology"
textile dyer,"properties of textile materials, use textile finishing machine technologies, develop textile colouring recipes, tend textile dyeing machines, design yarns, manufacture knitted textiles, tend textile finishing machines, challenging issues in the textile industry, maintain work standards, tend textile washing machines, health and safety in the textile industry, textile chemistry, apply colouring recipes, manufacture woven fabrics, conduct textile testing operations, textile finishing technology, dyeing technology"
textile finishing machine operator,"use textile finishing machine technologies, textile printing technology, tend textile drying machines, tend textile finishing machines, manufacture braided products, tend textile washing machines, maintain work standards, challenging issues in the textile industry, textile chemistry, finish processing of man-made fibres, textile finishing technology, dyeing technology"
textile industry machinery distribution manager,"track shipments, ensure customs compliance, freight transport methods, have computer literacy, adhere to organisational guidelines, textile industry machinery products, implement strategic planning, handle carriers, manage freight payment methods, perform multiple tasks at the same time, manage staff, track shipping sites, create solutions to problems, develop financial statistics reports, hazardous freight regulations, manage financial risk, minimise shipping cost, ensure regulatory compliance concerning distribution activities, analyse supply chain trends, communicate with shipment forwarders, carry out inventory control accuracy, carry out statistical forecasts, supply chain management, perform risk analysis, plan transport operations, perform financial risk management in international trade"
textile machine operator,"use textile finishing machine technologies, tend weaving machines, tend textile dyeing machines, tend textile drying machines, manufacture knitted textiles, manufacture nonwoven staple products, use textile technique for hand-made products, textile techniques, tend textile finishing machines, tend textile washing machines, tend spinning machines, manufacture braided products, manufacture man-made fibres, manufacture non-woven filament products, tend textile printing machines, operate welding equipment, control textile process, textile technologies"
textile machinery technician,"manufacture staple yarns, maintain electrical equipment, record test data, covert slivers into thread, manufacture braided products, use weaving machine technologies, challenging issues in the textile industry, use warp preparation technologies, maintain hydraulic systems, operate soldering equipment, maintain electronic equipment, knitting machine technology, provide customer information related to repairs, manufacture woven fabrics, textile finishing technology, provide technical training, use textile finishing machine technologies, troubleshoot, manufacture texturised filament yarns, install pneumatic systems, use warp knitting technologies, textile industry machinery products, consult technical resources, operate welding equipment, perform maintenance on installed equipment, manufacture nonwoven staple products, manufacture weft knitted fabrics, health and safety in the textile industry, ensure compliance with environmental legislation, nonwoven machine technology, mechanics, perform machine maintenance, braiding technology, dyeing technology, order supplies, textile printing technology, conduct routine machinery checks, replace defect components, manufacture knitted textiles, install electrical and electronic equipment, pneumatics, assemble machines, perform test run, clean equipment, write records for repairs, use testing equipment, use weft preparation technologies, resolve equipment malfunctions, staple spinning machine technology, check quality of products on the production line, apply technical communication skills, electronics, estimate restoration costs, solve technical problems, maintain work standards, set up the controller of a machine, prepare compliance documents, install hydraulic systems, manufacture man-made fibres, hydraulics, maintain footwear assembling equipment"
textile operations manager,"challenging issues in the textile industry, use weaving machine technologies, evaluate textile characteristics, knitting machine technology, coordinate manufacturing production activities, manufacture woven fabrics, textile finishing technology, use warp knitting technologies, follow production schedule, manufacture nonwoven staple products, distinguish accessories, health and safety in the textile industry, manufacture weft knitted fabrics, nonwoven machine technology, manufacture non-woven filament products, test physical properties of textiles, control textile process, dyeing technology, place orders for textile materials, liaise with logistics management teams, plan the stocking of products, coordinate orders from various suppliers, assist in planning production scheduling, conduct textile testing operations, use weft preparation technologies, distinguish fabrics, maintain work standards"
